zone,latitude,longitude
Aleutian Trench,52.0,-163.5
Aleutian Trench,52.0,-163.0
Aleutian Trench,52.0,-162.5
Aleutian Trench,52.0,-162.0
Aleutian Trench,52.0,-161.5
Aleutian Trench,52.0,-161.0
Aleutian Trench,52.0,-160.5
Aleutian Trench,52.0,-160.0
Aleutian Trench,52.0,-159.5
Aleutian Trench,52.0,-159.0
Aleutian Trench,52.0,-158.5
Aleutian Trench,52.0,-158.0
Aleutian Trench,52.0,-157.5
Aleutian Trench,52.0,-157.0
Aleutian Trench,52.0,-156.5
Aleutian Trench,52.0,-156.0
Aleutian Trench,52.0,-155.5
Aleutian Trench,52.0,-155.0
Aleutian Trench,52.0,-154.5
Aleutian Trench,52.0,-154.0
Aleutian Trench,52.0,-153.5
Aleutian Trench,52.0,-153.0
Aleutian Trench,52.0,-152.5
Aleutian Trench,52.0,-152.0
Aleutian Trench,52.0,-151.5
Aleutian Trench,52.0,-151.0
Aleutian Trench,52.0,-150.5
Aleutian Trench,52.0,-150.0
Aleutian Trench,52.0,-149.5
Aleutian Trench,52.0,-149.0
Aleutian Trench,52.0,-148.5
Aleutian Trench,52.0,-148.0
Aleutian Trench,52.0,-147.5
Aleutian Trench,52.0,-147.0
Aleutian Trench,52.0,-146.5
Aleutian Trench,52.0,-146.0
Aleutian Trench,52.0,-145.5
Aleutian Trench,52.0,-145.0
Aleutian Trench,52.0,-144.5
Aleutian Trench,52.0,-144.0
Aleutian Trench,52.0,-143.5
Aleutian Trench,52.0,-143.0
Aleutian Trench,52.0,-142.5
Aleutian Trench,52.0,-142.0
Aleutian Trench,52.0,-141.5
Aleutian Trench,52.0,-141.0
Aleutian Trench,52.0,-140.5
Aleutian Trench,52.0,-140.0
Aleutian Trench,52.0,-139.5
Aleutian Trench,52.0,-139.0
Aleutian Trench,52.0,-138.5
Aleutian Trench,52.0,-138.0
Aleutian Trench,52.0,-137.5
Aleutian Trench,52.0,-137.0
Aleutian Trench,52.0,-136.5
Aleutian Trench,52.0,-136.0
Aleutian Trench,52.0,-135.5
Aleutian Trench,52.0,-135.0
Aleutian Trench,52.0,-134.5
Aleutian Trench,52.0,-134.0
Aleutian Trench,52.0,-133.5
Aleutian Trench,52.0,-133.0
Aleutian Trench,52.0,-132.5
Aleutian Trench,52.0,-132.0
Aleutian Trench,52.0,-131.5
Aleutian Trench,52.0,-131.0
Aleutian Trench,52.0,-130.5
Aleutian Trench,52.0,-130.0
Kuril-Kamchatka,40.0,150.0
Kuril-Kamchatka,40.5,150.0
Kuril-Kamchatka,41.0,150.0
Kuril-Kamchatka,41.5,150.0
Kuril-Kamchatka,42.0,150.0
Kuril-Kamchatka,42.5,150.0
Kuril-Kamchatka,43.0,150.0
Kuril-Kamchatka,43.5,150.0
Kuril-Kamchatka,44.0,150.0
Kuril-Kamchatka,44.5,150.0
Kuril-Kamchatka,45.0,150.0
Kuril-Kamchatka,45.5,150.0
Kuril-Kamchatka,46.0,150.0
Kuril-Kamchatka,46.5,150.0
Kuril-Kamchatka,47.0,150.0
Kuril-Kamchatka,47.5,150.0
Kuril-Kamchatka,48.0,150.0
Kuril-Kamchatka,48.5,150.0
Kuril-Kamchatka,49.0,150.0
Kuril-Kamchatka,49.5,150.0
Kuril-Kamchatka,50.0,150.0
Kuril-Kamchatka,50.5,150.0
Kuril-Kamchatka,51.0,150.0
Kuril-Kamchatka,51.5,150.0
Kuril-Kamchatka,52.0,150.0
Kuril-Kamchatka,52.5,150.0
Kuril-Kamchatka,53.0,150.0
Kuril-Kamchatka,53.5,150.0
Kuril-Kamchatka,54.0,150.0
Kuril-Kamchatka,54.5,150.0
Kuril-Kamchatka,55.0,150.0
Izu-Bonin-Mariana,15.0,145.0
Izu-Bonin-Mariana,15.5,145.0
Izu-Bonin-Mariana,16.0,145.0
Izu-Bonin-Mariana,16.5,145.0
Izu-Bonin-Mariana,17.0,145.0
Izu-Bonin-Mariana,17.5,145.0
Izu-Bonin-Mariana,18.0,145.0
Izu-Bonin-Mariana,18.5,145.0
Izu-Bonin-Mariana,19.0,145.0
Izu-Bonin-Mariana,19.5,145.0
Izu-Bonin-Mariana,20.0,145.0
Izu-Bonin-Mariana,20.5,145.0
Izu-Bonin-Mariana,21.0,145.0
Izu-Bonin-Mariana,21.5,145.0
Izu-Bonin-Mariana,22.0,145.0
Izu-Bonin-Mariana,22.5,145.0
Izu-Bonin-Mariana,23.0,145.0
Izu-Bonin-Mariana,23.5,145.0
Izu-Bonin-Mariana,24.0,145.0
Izu-Bonin-Mariana,24.5,145.0
Izu-Bonin-Mariana,25.0,145.0
Izu-Bonin-Mariana,25.5,145.0
Izu-Bonin-Mariana,26.0,145.0
Izu-Bonin-Mariana,26.5,145.0
Izu-Bonin-Mariana,27.0,145.0
Izu-Bonin-Mariana,27.5,145.0
Izu-Bonin-Mariana,28.0,145.0
Izu-Bonin-Mariana,28.5,145.0
Izu-Bonin-Mariana,29.0,145.0
Izu-Bonin-Mariana,29.5,145.0
Izu-Bonin-Mariana,30.0,145.0
Philippine Trench,5.0,126.0
Philippine Trench,5.5,126.0
Philippine Trench,6.0,126.0
Philippine Trench,6.5,126.0
Philippine Trench,7.0,126.0
Philippine Trench,7.5,126.0
Philippine Trench,8.0,126.0
Philippine Trench,8.5,126.0
Philippine Trench,9.0,126.0
Philippine Trench,9.5,126.0
Philippine Trench,10.0,126.0
Philippine Trench,10.5,126.0
Philippine Trench,11.0,126.0
Philippine Trench,11.5,126.0
Philippine Trench,12.0,126.0
Philippine Trench,12.5,126.0
Philippine Trench,13.0,126.0
Philippine Trench,13.5,126.0
Philippine Trench,14.0,126.0
Philippine Trench,14.5,126.0
Philippine Trench,15.0,126.0
Philippine Trench,15.5,126.0
Philippine Trench,16.0,126.0
Philippine Trench,16.5,126.0
Philippine Trench,17.0,126.0
Philippine Trench,17.5,126.0
Philippine Trench,18.0,126.0
Philippine Trench,18.5,126.0
Philippine Trench,19.0,126.0
Philippine Trench,19.5,126.0
Philippine Trench,20.0,126.0
Java-Sumatra Trench,-10.0,100.0
Java-Sumatra Trench,-9.5,100.0
Java-Sumatra Trench,-9.0,100.0
Java-Sumatra Trench,-8.5,100.0
Java-Sumatra Trench,-8.0,100.0
Java-Sumatra Trench,-7.5,100.0
Java-Sumatra Trench,-7.0,100.0
Java-Sumatra Trench,-6.5,100.0
Java-Sumatra Trench,-6.0,100.0
Java-Sumatra Trench,-5.5,100.0
Java-Sumatra Trench,-5.0,100.0
Java-Sumatra Trench,-4.5,100.0
Java-Sumatra Trench,-4.0,100.0
Java-Sumatra Trench,-3.5,100.0
Java-Sumatra Trench,-3.0,100.0
Java-Sumatra Trench,-2.5,100.0
Java-Sumatra Trench,-2.0,100.0
Java-Sumatra Trench,-1.5,100.0
Java-Sumatra Trench,-1.0,100.0
Java-Sumatra Trench,-0.5,100.0
Java-Sumatra Trench,0.0,100.0
Java-Sumatra Trench,0.5,100.0
Java-Sumatra Trench,1.0,100.0
Java-Sumatra Trench,1.5,100.0
Java-Sumatra Trench,2.0,100.0
Java-Sumatra Trench,2.5,100.0
Java-Sumatra Trench,3.0,100.0
Java-Sumatra Trench,3.5,100.0
Java-Sumatra Trench,4.0,100.0
Java-Sumatra Trench,4.5,100.0
Java-Sumatra Trench,5.0,100.0
Tonga-Kermadec,-35.0,-175.0
Tonga-Kermadec,-34.5,-175.0
Tonga-Kermadec,-34.0,-175.0
Tonga-Kermadec,-33.5,-175.0
Tonga-Kermadec,-33.0,-175.0
Tonga-Kermadec,-32.5,-175.0
Tonga-Kermadec,-32.0,-175.0
Tonga-Kermadec,-31.5,-175.0
Tonga-Kermadec,-31.0,-175.0
Tonga-Kermadec,-30.5,-175.0
Tonga-Kermadec,-30.0,-175.0
Tonga-Kermadec,-29.5,-175.0
Tonga-Kermadec,-29.0,-175.0
Tonga-Kermadec,-28.5,-175.0
Tonga-Kermadec,-28.0,-175.0
Tonga-Kermadec,-27.5,-175.0
Tonga-Kermadec,-27.0,-175.0
Tonga-Kermadec,-26.5,-175.0
Tonga-Kermadec,-26.0,-175.0
Tonga-Kermadec,-25.5,-175.0
Tonga-Kermadec,-25.0,-175.0
Tonga-Kermadec,-24.5,-175.0
Tonga-Kermadec,-24.0,-175.0
Tonga-Kermadec,-23.5,-175.0
Tonga-Kermadec,-23.0,-175.0
Tonga-Kermadec,-22.5,-175.0
Tonga-Kermadec,-22.0,-175.0
Tonga-Kermadec,-21.5,-175.0
Tonga-Kermadec,-21.0,-175.0
Tonga-Kermadec,-20.5,-175.0
Tonga-Kermadec,-20.0,-175.0
Tonga-Kermadec,-19.5,-175.0
Tonga-Kermadec,-19.0,-175.0
Tonga-Kermadec,-18.5,-175.0
Tonga-Kermadec,-18.0,-175.0
Tonga-Kermadec,-17.5,-175.0
Tonga-Kermadec,-17.0,-175.0
Tonga-Kermadec,-16.5,-175.0
Tonga-Kermadec,-16.0,-175.0
Tonga-Kermadec,-15.5,-175.0
Tonga-Kermadec,-15.0,-175.0
Himalayan Thrust,28.0,70.0
Himalayan Thrust,28.0,70.5
Himalayan Thrust,28.0,71.0
Himalayan Thrust,28.0,71.5
Himalayan Thrust,28.0,72.0
Himalayan Thrust,28.0,72.5
Himalayan Thrust,28.0,73.0
Himalayan Thrust,28.0,73.5
Himalayan Thrust,28.0,74.0
Himalayan Thrust,28.0,74.5
Himalayan Thrust,28.0,75.0
Himalayan Thrust,28.0,75.5
Himalayan Thrust,28.0,76.0
Himalayan Thrust,28.0,76.5
Himalayan Thrust,28.0,77.0
Himalayan Thrust,28.0,77.5
Himalayan Thrust,28.0,78.0
Himalayan Thrust,28.0,78.5
Himalayan Thrust,28.0,79.0
Himalayan Thrust,28.0,79.5
Himalayan Thrust,28.0,80.0
Himalayan Thrust,28.0,80.5
Himalayan Thrust,28.0,81.0
Himalayan Thrust,28.0,81.5
Himalayan Thrust,28.0,82.0
Himalayan Thrust,28.0,82.5
Himalayan Thrust,28.0,83.0
Himalayan Thrust,28.0,83.5
Himalayan Thrust,28.0,84.0
Himalayan Thrust,28.0,84.5
Himalayan Thrust,28.0,85.0
Himalayan Thrust,28.0,85.5
Himalayan Thrust,28.0,86.0
Himalayan Thrust,28.0,86.5
Himalayan Thrust,28.0,87.0
Himalayan Thrust,28.0,87.5
Himalayan Thrust,28.0,88.0
Himalayan Thrust,28.0,88.5
Himalayan Thrust,28.0,89.0
Himalayan Thrust,28.0,89.5
Himalayan Thrust,28.0,90.0
Himalayan Thrust,28.0,90.5
Himalayan Thrust,28.0,91.0
Himalayan Thrust,28.0,91.5
Himalayan Thrust,28.0,92.0
Himalayan Thrust,28.0,92.5
Himalayan Thrust,28.0,93.0
Himalayan Thrust,28.0,93.5
Himalayan Thrust,28.0,94.0
Himalayan Thrust,28.0,94.5
Himalayan Thrust,28.0,95.0
Himalayan Thrust,28.0,95.5
Himalayan Thrust,28.0,96.0
Himalayan Thrust,28.0,96.5
Himalayan Thrust,28.0,97.0
Himalayan Thrust,28.0,97.5
Himalayan Thrust,28.0,98.0
Himalayan Thrust,28.0,98.5
Himalayan Thrust,28.0,99.0
Himalayan Thrust,28.0,99.5
Himalayan Thrust,28.0,100.0
Mediterranean-Hellenic,35.0,15.0
Mediterranean-Hellenic,35.0,15.5
Mediterranean-Hellenic,35.0,16.0
Mediterranean-Hellenic,35.0,16.5
Mediterranean-Hellenic,35.0,17.0
Mediterranean-Hellenic,35.0,17.5
Mediterranean-Hellenic,35.0,18.0
Mediterranean-Hellenic,35.0,18.5
Mediterranean-Hellenic,35.0,19.0
Mediterranean-Hellenic,35.0,19.5
Mediterranean-Hellenic,35.0,20.0
Mediterranean-Hellenic,35.0,20.5
Mediterranean-Hellenic,35.0,21.0
Mediterranean-Hellenic,35.0,21.5
Mediterranean-Hellenic,35.0,22.0
Mediterranean-Hellenic,35.0,22.5
Mediterranean-Hellenic,35.0,23.0
Mediterranean-Hellenic,35.0,23.5
Mediterranean-Hellenic,35.0,24.0
Mediterranean-Hellenic,35.0,24.5
Mediterranean-Hellenic,35.0,25.0
Mediterranean-Hellenic,35.0,25.5
Mediterranean-Hellenic,35.0,26.0
Mediterranean-Hellenic,35.0,26.5
Mediterranean-Hellenic,35.0,27.0
Mediterranean-Hellenic,35.0,27.5
Mediterranean-Hellenic,35.0,28.0
Mediterranean-Hellenic,35.0,28.5
Mediterranean-Hellenic,35.0,29.0
Mediterranean-Hellenic,35.0,29.5
Mediterranean-Hellenic,35.0,30.0
Andaman-Nicobar Trench,5.0,93.0
Andaman-Nicobar Trench,5.5,93.0
Andaman-Nicobar Trench,6.0,93.0
Andaman-Nicobar Trench,6.5,93.0
Andaman-Nicobar Trench,7.0,93.0
Andaman-Nicobar Trench,7.5,93.0
Andaman-Nicobar Trench,8.0,93.0
Andaman-Nicobar Trench,8.5,93.0
Andaman-Nicobar Trench,9.0,93.0
Andaman-Nicobar Trench,9.5,93.0
Andaman-Nicobar Trench,10.0,93.0
Andaman-Nicobar Trench,10.5,93.0
Andaman-Nicobar Trench,11.0,93.0
Andaman-Nicobar Trench,11.5,93.0
Andaman-Nicobar Trench,12.0,93.0
Andaman-Nicobar Trench,12.5,93.0
Andaman-Nicobar Trench,13.0,93.0
Andaman-Nicobar Trench,13.5,93.0
Andaman-Nicobar Trench,14.0,93.0
Andaman-Nicobar Trench,14.5,93.0
Andaman-Nicobar Trench,15.0,93.0
Sumatra-Java Trench,-10.0,102.0
Sumatra-Java Trench,-9.5,102.0
Sumatra-Java Trench,-9.0,102.0
Sumatra-Java Trench,-8.5,102.0
Sumatra-Java Trench,-8.0,102.0
Sumatra-Java Trench,-7.5,102.0
Sumatra-Java Trench,-7.0,102.0
Sumatra-Java Trench,-6.5,102.0
Sumatra-Java Trench,-6.0,102.0
Sumatra-Java Trench,-5.5,102.0
Sumatra-Java Trench,-5.0,102.0
Sumatra-Java Trench,-4.5,102.0
Sumatra-Java Trench,-4.0,102.0
Sumatra-Java Trench,-3.5,102.0
Sumatra-Java Trench,-3.0,102.0
Sumatra-Java Trench,-2.5,102.0
Sumatra-Java Trench,-2.0,102.0
Sumatra-Java Trench,-1.5,102.0
Sumatra-Java Trench,-1.0,102.0
Sumatra-Java Trench,-0.5,102.0
Sumatra-Java Trench,0.0,102.0
Sumatra-Java Trench,0.5,102.0
Sumatra-Java Trench,1.0,102.0
Sumatra-Java Trench,1.5,102.0
Sumatra-Java Trench,2.0,102.0
Sumatra-Java Trench,2.5,102.0
Sumatra-Java Trench,3.0,102.0
Sumatra-Java Trench,3.5,102.0
Sumatra-Java Trench,4.0,102.0
Sumatra-Java Trench,4.5,102.0
Sumatra-Java Trench,5.0,102.0
Andaman-Nicobar Segment,6.0,93.0
Andaman-Nicobar Segment,6.5,93.0
Andaman-Nicobar Segment,7.0,93.0
Andaman-Nicobar Segment,7.5,93.0
Andaman-Nicobar Segment,8.0,93.0
Andaman-Nicobar Segment,8.5,93.0
Andaman-Nicobar Segment,9.0,93.0
Andaman-Nicobar Segment,9.5,93.0
Andaman-Nicobar Segment,10.0,93.0
Andaman-Nicobar Segment,10.5,93.0
Andaman-Nicobar Segment,11.0,93.0
Andaman-Nicobar Segment,11.5,93.0
Andaman-Nicobar Segment,12.0,93.0
Andaman-Nicobar Segment,12.5,93.0
Andaman-Nicobar Segment,13.0,93.0
Andaman-Nicobar Segment,13.5,93.0
Andaman-Nicobar Segment,14.0,93.0
Andaman-Nicobar Segment,14.5,93.0
Andaman-Nicobar Segment,15.0,93.0
Indo-Gangetic Plain / Himalayan Front,27.0,75.0
Indo-Gangetic Plain / Himalayan Front,27.0,75.5
Indo-Gangetic Plain / Himalayan Front,27.0,76.0
Indo-Gangetic Plain / Himalayan Front,27.0,76.5
Indo-Gangetic Plain / Himalayan Front,27.0,77.0
Indo-Gangetic Plain / Himalayan Front,27.0,77.5
Indo-Gangetic Plain / Himalayan Front,27.0,78.0
Indo-Gangetic Plain / Himalayan Front,27.0,78.5
Indo-Gangetic Plain / Himalayan Front,27.0,79.0
Indo-Gangetic Plain / Himalayan Front,27.0,79.5
Indo-Gangetic Plain / Himalayan Front,27.0,80.0
Indo-Gangetic Plain / Himalayan Front,27.0,80.5
Indo-Gangetic Plain / Himalayan Front,27.0,81.0
Indo-Gangetic Plain / Himalayan Front,27.0,81.5
Indo-Gangetic Plain / Himalayan Front,27.0,82.0
Indo-Gangetic Plain / Himalayan Front,27.0,82.5
Indo-Gangetic Plain / Himalayan Front,27.0,83.0
Indo-Gangetic Plain / Himalayan Front,27.0,83.5
Indo-Gangetic Plain / Himalayan Front,27.0,84.0
Indo-Gangetic Plain / Himalayan Front,27.0,84.5
Indo-Gangetic Plain / Himalayan Front,27.0,85.0
Indo-Gangetic Plain / Himalayan Front,27.0,85.5
Indo-Gangetic Plain / Himalayan Front,27.0,86.0
Indo-Gangetic Plain / Himalayan Front,27.0,86.5
Indo-Gangetic Plain / Himalayan Front,27.0,87.0
Indo-Gangetic Plain / Himalayan Front,27.0,87.5
Indo-Gangetic Plain / Himalayan Front,27.0,88.0
Indo-Gangetic Plain / Himalayan Front,27.0,88.5
Indo-Gangetic Plain / Himalayan Front,27.0,89.0
Indo-Gangetic Plain / Himalayan Front,27.0,89.5
Indo-Gangetic Plain / Himalayan Front,27.0,90.0
Indo-Gangetic Plain / Himalayan Front,27.0,90.5
Indo-Gangetic Plain / Himalayan Front,27.0,91.0
Indo-Gangetic Plain / Himalayan Front,27.0,91.5
Indo-Gangetic Plain / Himalayan Front,27.0,92.0
Indo-Gangetic Plain / Himalayan Front,27.0,92.5
Indo-Gangetic Plain / Himalayan Front,27.0,93.0
Indo-Gangetic Plain / Himalayan Front,27.0,93.5
Indo-Gangetic Plain / Himalayan Front,27.0,94.0
Indo-Gangetic Plain / Himalayan Front,27.0,94.5
Indo-Gangetic Plain / Himalayan Front,27.0,95.0
Indo-Gangetic Plain / Himalayan Front,27.5,75.0
Indo-Gangetic Plain / Himalayan Front,27.5,75.5
Indo-Gangetic Plain / Himalayan Front,27.5,76.0
Indo-Gangetic Plain / Himalayan Front,27.5,76.5
Indo-Gangetic Plain / Himalayan Front,27.5,77.0
Indo-Gangetic Plain / Himalayan Front,27.5,77.5
Indo-Gangetic Plain / Himalayan Front,27.5,78.0
Indo-Gangetic Plain / Himalayan Front,27.5,78.5
Indo-Gangetic Plain / Himalayan Front,27.5,79.0
Indo-Gangetic Plain / Himalayan Front,27.5,79.5
Indo-Gangetic Plain / Himalayan Front,27.5,80.0
Indo-Gangetic Plain / Himalayan Front,27.5,80.5
Indo-Gangetic Plain / Himalayan Front,27.5,81.0
Indo-Gangetic Plain / Himalayan Front,27.5,81.5
Indo-Gangetic Plain / Himalayan Front,27.5,82.0
Indo-Gangetic Plain / Himalayan Front,27.5,82.5
Indo-Gangetic Plain / Himalayan Front,27.5,83.0
Indo-Gangetic Plain / Himalayan Front,27.5,83.5
Indo-Gangetic Plain / Himalayan Front,27.5,84.0
Indo-Gangetic Plain / Himalayan Front,27.5,84.5
Indo-Gangetic Plain / Himalayan Front,27.5,85.0
Indo-Gangetic Plain / Himalayan Front,27.5,85.5
Indo-Gangetic Plain / Himalayan Front,27.5,86.0
Indo-Gangetic Plain / Himalayan Front,27.5,86.5
Indo-Gangetic Plain / Himalayan Front,27.5,87.0
Indo-Gangetic Plain / Himalayan Front,27.5,87.5
Indo-Gangetic Plain / Himalayan Front,27.5,88.0
Indo-Gangetic Plain / Himalayan Front,27.5,88.5
Indo-Gangetic Plain / Himalayan Front,27.5,89.0
Indo-Gangetic Plain / Himalayan Front,27.5,89.5
Indo-Gangetic Plain / Himalayan Front,27.5,90.0
Indo-Gangetic Plain / Himalayan Front,27.5,90.5
Indo-Gangetic Plain / Himalayan Front,27.5,91.0
Indo-Gangetic Plain / Himalayan Front,27.5,91.5
Indo-Gangetic Plain / Himalayan Front,27.5,92.0
Indo-Gangetic Plain / Himalayan Front,27.5,92.5
Indo-Gangetic Plain / Himalayan Front,27.5,93.0
Indo-Gangetic Plain / Himalayan Front,27.5,93.5
Indo-Gangetic Plain / Himalayan Front,27.5,94.0
Indo-Gangetic Plain / Himalayan Front,27.5,94.5
Indo-Gangetic Plain / Himalayan Front,27.5,95.0
Indo-Gangetic Plain / Himalayan Front,28.0,75.0
Indo-Gangetic Plain / Himalayan Front,28.0,75.5
Indo-Gangetic Plain / Himalayan Front,28.0,76.0
Indo-Gangetic Plain / Himalayan Front,28.0,76.5
Indo-Gangetic Plain / Himalayan Front,28.0,77.0
Indo-Gangetic Plain / Himalayan Front,28.0,77.5
Indo-Gangetic Plain / Himalayan Front,28.0,78.0
